<<<<<<< HEAD
"MonthYear","Year","Month","Region","DissAmmonia","DissNitrate","DissNitrateNitrite","DissOrthophos","DON","TKN","TotPhos","Temperature","Salinity","Turbidity","DissolvedOxygen","Chlorophyll","pH","Microcystis","Sac_Inflow","SJR_Inflow","Total_Inflow","Clam_Turnover","Clam_Filtration","CorbiculaBiomass","PotamocorbulaBiomass"
"Feb-2015",2015,2,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,13.3318181644786,2.33375091940373,39.7818181818182,7.84615384615385,4.18,7.54712810462011,NA,500340,25538,583723,NA,NA,NA,NA
"Mar-2015",2015,3,"Confluence",0.11375,3.3,0.565,0.07375,0.433333333333333,0.725,0.13,15.8279710158642,0.963610568401097,30.9240740042137,9.05957446808511,6.10222220897675,7.72515635314054,NA,247160,19793,319724,0.713333333333333,1.04,17.0333333333333,0.0233333333333333
"Mar-2015",2015,3,"North",0.248518518518519,1.888,0.372222222222222,0.113703703703704,0.5,0.87037037037037,0.172962962962963,16.5462498947367,0.354407977280172,31.7682432297681,8.41439393939394,11.8845451164246,7.86273494728741,NA,247160,19793,319724,NA,NA,NA,NA
"Mar-2015",2015,3,"SouthCentral",0.0574785,3.66,0.684375,0.08625,0.454545454545455,0.8,0.133125,16.6963302944306,0.294676843873072,10.2489247111186,9.46111111111111,12.302972972973,7.64796867376499,NA,247160,19793,319724,0.0233333333333333,0.0266666666666667,0.426666666666667,0
"Mar-2015",2015,3,"Suisun Bay",0.103333333333333,NA,0.506666666666667,0.0766666666666667,0.466666666666667,0.9,0.133333333333333,15.5708108468958,8.04779031036864,28.9407407266122,8.5,2.78833333333333,7.9716640627537,NA,247160,19793,319724,0.92,1.055,0,2.645
"Mar-2015",2015,3,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,16.956000038147,2.95692013319381,48.7285718645368,8.73692307692308,9.87,7.8,NA,247160,19793,319724,NA,NA,NA,NA
"Apr-2015",2015,4,"Confluence",0.0833333333333333,2.3,0.406666666666667,0.06,0.328571428571429,0.622222222222222,0.134444444444444,17.1583760862142,1.83091886802722,30.4486237517378,8.82145833333333,8.99699998807907,7.89526034486529,NA,190240,26244,273969,0.763333333333333,1.10666666666667,14.2166666666667,0.04
"Apr-2015",2015,4,"North",0.272592592592593,1.392,0.313333333333333,0.108888888888889,0.5,0.766666666666667,0.170740740740741,18.028482028829,0.306230950742853,44.3363043282541,8.25666666666667,4.7918179954182,8.21004666107527,NA,190240,26244,273969,NA,NA,NA,NA
"Apr-2015",2015,4,"SouthCentral",0.0398006111111111,1.67700222222222,0.3159835,0.0459212777777778,0.358333333333333,0.783333333333333,0.116111111111111,18.32982295829,0.250663488759839,11.3252083147538,8.48068965517241,17.6661904761905,7.79595645793658,NA,190240,26244,273969,0.126666666666667,0.14,2.25,0
"Apr-2015",2015,4,"Suisun Bay",0.103333333333333,NA,0.403333333333333,0.06,0.366666666666667,0.633333333333333,0.14,16.9145945327346,9.27318994706906,25.5407406771624,8.53333333333333,2.24,7.88976800541023,NA,190240,26244,273969,0.625,0.705,0,1.76
"Apr-2015",2015,4,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,17.004000038147,4.44589200533391,40.528571673802,7.98461538461538,1.48,7.7,NA,190240,26244,273969,NA,NA,NA,NA
"May-2015",2015,5,"Confluence",0.0975,2.2,0.47875,0.0825,0.35,0.6125,0.1525,18.6181999588013,2.35646267995509,27.7487500263622,8.27333333333333,2.23499999470181,7.80313786297136,NA,226930,10506,287711,1.36292307692308,10.9455246153846,9.622,2.14446153846154
"May-2015",2015,5,"North",0.212841222222222,1.116,0.267407407407407,0.101481481481481,0.3,0.662962962962963,0.165925925925926,19.5462611194992,0.230034226886129,60.4846153846154,7.76714285714286,3.5136362509294,8.16509239549895,NA,226930,10506,287711,0.652,2.30356,7.572,0
